station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.HNO0009,21.062571,105.913567,Long Bien,Hà Nội	,Phường Việt Hưng,Thành phố Hà Nội,,
C.QBI0010,17.448799,106.631927,Dong Hoi,Quảng Bình,Phường Đồng Hới,Tỉnh Quảng Trị,,
C.PTH0005,21.334101,105.353989,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.HTI0002,18.3367,105.895203,Ha Tinh,Hà Tĩnh,Phường Thành Sen,Tỉnh Hà Tĩnh,,
C.HNO0035,21.019812,105.781761,Nam Tu Liem,Hà Nội	,Phường Cầu Giấy,Thành phố Hà Nội,,
C.HNO0061,20.991901,105.940018,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HNO0062,20.992887,105.942024,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HNO0063,20.992083,105.941528,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HPH0005,20.820971,106.689148,Le Chan,Hải Phòng,Phường An Biên,Thành phố Hải Phòng,,
C.HTI0003,18.48855,105.891556,Loc Ha,Hà Tĩnh,Xã Lộc Hà,Tỉnh Hà Tĩnh,,
C.NAN0006,18.77054,105.754311,Cua Lo,Nghệ An,Phường Cửa Lò,Tỉnh Nghệ An,,
C.NAN0007,18.706059,105.494881,Nam Dan,Nghệ An,Xã Vạn An,Tỉnh Nghệ An,,
C.NAN0008,19.316675,105.446007,Thai Hoa,Nghệ An,Phường Thái Hoà,Tỉnh Nghệ An,,
C.QNI0006,21.033751,106.752342,Uong Bi,Hải Phòng,Phường Uông Bí,Tỉnh Quảng Ninh,,
C.NAN0015,18.659811,105.673615,Vinh,Nghệ An,Phường Trường Vinh,Tỉnh Nghệ An,,
C.QNI0021,21.06636,106.56617,Dong Trieu,Hải Dương,Phường Mạo Khê,Tỉnh Quảng Ninh,,
C.PTH0006,21.33132,105.371552,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.HCM0056,10.804283,106.790054,Quan 9,Ho Chi Minh,Phường Long Trường,Thành phố Hồ Chí Minh,HCM,Lư Diệu Thuận
C.HCM0032,10.802531,106.741127,Quan 2,Ho Chi Minh,Phường An Khánh,Thành phố Hồ Chí Minh,HCM,Phạm Gia Khiêm
C.HNO0089,20.98871,105.942436,Gia Lam,Hà Nội	,Xã Gia Lâm,Thành phố Hà Nội,,
C.HTI0004,18.076391,106.288803,Ky Anh,Hà Tĩnh,Phường Sông Trí,Tỉnh Hà Tĩnh,,
C.HTI0001,18.4459,105.4478,Huong Son,Hà Tĩnh,Xã Kim Hoa,Tỉnh Hà Tĩnh,,
C.NAN0003,18.648899,105.662537,Hung Nguyen,Nghệ An,Phường Trường Vinh,Tỉnh Nghệ An,,
C.NAN0004,18.699089,105.676193,Vinh,Nghệ An,Phường Vinh Phú,Tỉnh Nghệ An,,
C.NAN0016,18.729849,105.659416,Vinh,Nghệ An,Phường Vinh Hưng,Tỉnh Nghệ An,,
C.NAN0017,18.66637,105.688911,Vinh,Nghệ An,Phường Trường Vinh,Tỉnh Nghệ An,,
C.BNI0001,21.180721,106.018898,Yen Phong,Bắc Ninh,Xã Tam Đa,Tỉnh Bắc Ninh,,
C.PTH0011,21.340651,105.364891,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.LCH0007,22.397385,103.45887,Lai Chau,Lai Châu,Phường Đoàn Kết,Tỉnh Lai Châu,,
C.LCA0001,22.451092,103.998329,Lao Cai,Lào Cai,Phường Cam Đường,Tỉnh Lào Cai,,
C.QNI0023,20.984011,106.913193,Ha Long,Hải Phòng,Phường Tuần Châu,Tỉnh Quảng Ninh,,
C.QBI0002,17.244801,106.685791,Le Thuy,Quảng Bình,Xã Lệ Ninh,Tỉnh Quảng Trị,,
C.QBI0005,18.044567,105.842369,Tuyen Hoa,Hà Tĩnh,Xã Tuyên Sơn,Tỉnh Quảng Trị,,
C.QBI0006,17.640047,106.284286,Bo Trach,Quảng Bình,Xã Phong Nha,Tỉnh Quảng Trị,,
C.QBI0007,17.08568,106.569862,Le Thuy,Quảng Bình,Xã Kim Ngân,Tỉnh Quảng Trị,,
C.HNA0003,20.5214,105.944702,Thanh Liem,Hà Nam,Phường Liêm Tuyền,Tỉnh Ninh Bình,,
C.QBI0008,17.497231,106.509972,Bo Trach,Quảng Bình,Xã Nam Trạch,Tỉnh Quảng Trị,,
C.TQU0001,21.80121,105.204819,Tuyen Quang,Tuyên Quang,Phường An Tường,Tỉnh Tuyên Quang,,
C.TQU0002,21.8216,105.181702,Tuyen Quang,Tuyên Quang,Phường Minh Xuân,Tỉnh Tuyên Quang,,
C.NDI0002,20.273891,106.437256,Giao Thuy,Nam Định,Xã Giao Thuỷ,Tỉnh Ninh Bình,,
C.NDI0004,20.440651,106.152718,Nam Định,Nam Định,Phường Đông A,Tỉnh Ninh Bình,,
C.TBI0002,20.456249,106.312241,Thai Binh,Thái Bình,Phường Trần Hưng Đạo,Tỉnh Hưng Yên,,
